"Model","split_num","iter_num","AUC_score"
"XGB6",4,0,0.828672848449725
"XGB6",5,0,0.901043175891046
"XGB6",6,0,0.965227470298464
"XGB6",7,0,0.93617791944364
"XGB6",8,0,0.920095624456679
"XGB6",9,0,0.926615473775717
"XGB6",0,1,0.977398488036786
"XGB6",1,1,0.948717948717949
"XGB6",2,1,0.964539007092199
"XGB6",3,1,0.949579831932773
"XGB6",4,1,0.95508548246885
"XGB6",5,1,0.923862648507679
"XGB6",6,1,0.922051579252391
"XGB6",7,1,0.813097652854245
"XGB6",8,1,0.944291509707331
"XGB6",9,1,0.940524485656332
"XGB6",0,2,0.963993453355156
"XGB6",1,2,0.919024238173174
